Date,Open,High,Low,Close,Adj Close,Volume
2013-09-09,27420,27500,27260,27460,22092.81836,9291550
2013-09-10,27380,27920,27360,27920,22462.91211,14717650
2013-09-11,27960,28040,27700,28040,22559.45898,13353000
2013-09-12,28100,28480,27900,28200,22688.18555,21805400
2013-09-13,28180,28200,27920,28120,22623.81641,12281500
2013-09-16,28460,28500,28220,28500,22929.54297,11710700
2013-09-17,28400,28400,27620,27720,22302.00195,17181350
2013-09-23,27300,27620,27060,27200,21883.63867,24362900
2013-09-24,26840,27580,26760,27460,22092.81836,15138900
2013-09-25,27340,27480,27020,27280,21947.99805,11176450
2013-09-26,27280,27440,27120,27440,22076.72656,10374700
2013-09-27,27500,27540,27260,27320,21980.18359,11613250
2013-09-30,27320,27640,27200,27340,21996.26953,11650900
2013-10-01,27600,27660,27200,27640,22237.63477,9773150
2013-10-02,27960,28500,27800,28360,22816.9082,17586350
2013-10-04,28760,28840,28280,28360,22816.9082,15753700
2013-10-07,28740,28740,28500,28720,23106.54492,10228250
2013-10-08,28340,28660,28340,28600,23009.99414,10546000
2013-10-10,28420,28640,28420,28600,23009.99414,13819000
2013-10-11,28800,28940,28720,28860,23219.17383,11254150
2013-10-14,28960,28980,28760,28760,23138.72266,7373700
2013-10-15,29000,29140,28900,29140,23444.45703,10023650
2013-10-16,29380,29380,28900,29000,23331.82227,8010600
2013-10-17,29200,29360,29080,29260,23540.99805,9099350
2013-10-18,29440,29500,29260,29440,23685.82031,7852150
2013-10-21,29500,29780,29080,29280,23557.08594,7126050
2013-10-22,29200,29200,28680,29100,23412.27539,12353250
2013-10-23,29280,29280,28720,28840,23203.08789,8598450
2013-10-24,28620,28980,28580,28980,23315.73047,8915650
2013-10-25,29000,29040,28660,28980,23315.73047,6735300
2013-10-28,29300,29700,29160,29640,23846.72461,11307700
2013-10-29,29800,29800,29560,29800,23975.45508,10334900
2013-10-30,29700,30000,29680,30000,24136.35938,10588400
2013-10-31,29960,30040,29300,29300,23573.18359,12647050
2013-11-01,29800,30000,29360,30000,24136.35938,11357700
2013-11-04,29840,30040,29780,29980,24120.27148,10887800
2013-11-05,30040,30040,29440,29700,23894.99805,8009300
2013-11-06,29960,29960,28980,29020,23347.91211,12218400
2013-11-07,29020,29080,28500,28740,23122.63086,13006800
2013-11-08,28220,28560,28140,28200,22688.18555,13681350
2013-11-11,28500,28680,28180,28560,22977.81836,8563850
2013-11-12,28800,29320,28720,29120,23428.36719,9784900
2013-11-13,28900,28980,28380,28380,22833.00195,9995200
2013-11-14,29100,29100,28480,28480,22913.45313,10132150
2013-11-15,28680,29240,28640,29240,23524.9043,8339250
2013-11-18,29400,29520,29300,29480,23718.00195,6386800
2013-11-19,29660,29780,29540,29780,23959.36133,8183550
2013-11-20,29460,29740,29280,29400,23653.63867,8178150
2013-11-21,29440,29440,28640,28800,23170.91016,9019800
2013-11-22,28820,29120,28620,29000,23331.82227,8574600
2013-11-25,29020,29440,29020,29300,23573.18359,6615300
2013-11-26,29160,29580,29100,29580,23798.45703,8586250
2013-11-27,29340,29520,29200,29400,23653.63867,9351700
